Nombre,Tipo Fitness,Categoría Google,País,Ciudad,Zona Premium,Dirección,Teléfono,Sitio Web,Email,Rating,Nº Reseñas,Tamaño Estimado,Prioridad,Score Nexora (0-10),Tiene Web,Tiene Teléfono,Campaña,Mes Scraping,Google Maps URL
Centinelas Futbol Americano,Gimnasio,Centro deportivo,México,Ciudad de México,Polanco,"Av. del Conscripto MZ 001, Naucalpan de Juárez, Estado de México",+52 55 5162 7157,,,4.6,683,Grande (cadena),ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Centinelas%20Futbol%20Americano&query_place_id=ChIJmRlQrDEC0oURHZJ6mGVsUI0
Academia de seguridad Ceesp ltda MEDELLIN,Otro,Servicio de seguridad,Colombia,Medellín,Laureles,"Cl. 54 #42 – 81 PISO 3, Medellín, La Candelaria, Medellín, Antioquia",+57 310 5904709,http://www.academiadeseguridadprivada.com/,,5,681,Grande (cadena),MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Academia%20de%20seguridad%20Ceesp%20ltda%20MEDELLIN&query_place_id=ChIJTR-ujsB39GQRM9UzWzoLM7A
BICICLETAS COLBIC,Spinning / Ciclo,Tienda de bicicletas,Colombia,Medellín,Laureles,"Cra. 52 #55 26, Medellín, La Candelaria, Medellín, Antioquia",+57 301 6137293,,,4.3,484,Grande (cadena),ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=BICICLETAS%20COLBIC&query_place_id=ChIJF5pgi_soRI4RQtBmrcZW2w0
Gimnasio XXL,Gimnasio,Gimnasio,Argentina,Buenos Aires,Palermo,"Av. Raúl Scalabrini Ortiz 1378, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 11 4833-4666,,,4.5,398,Grande (cadena),ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Gimnasio%20XXL&query_place_id=ChIJ-9SCR3jKvJURvA0_lKj6Pok
Fitcore Hipopresivos,Otro,Programa de salud y bienestar,Colombia,Medellín,El Poblado,"Cra. 43B #11 a 5, Medellín, El Poblado, Medellín, Antioquia",+57 324 4585529,http://www.fitcorehipopresivos.com/,,5,263,Grande (cadena),MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Fitcore%20Hipopresivos&query_place_id=ChIJw8Hr_G9qX0gRQHTHfTHy-5w
Total Fit Gym,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl. 63 #80a134 80a- a, Medellín, Robledo, Medellín, Antioquia",+57 604 5017736,,,4.4,241,Grande (cadena),ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Total%20Fit%20Gym&query_place_id=ChIJn_UdHD8pRI4R6AnW8KIUwkE
Gimnasio Sport Club,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl 44 #94-149, Medellín, La América, Medellín, Antioquia",+57 44183626,,,4.6,236,Grande (cadena),ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Sport%20Club&query_place_id=ChIJoQtAKnopRI4R9t8SCORL9SM
Cygnus Pilates,Pilates,Centro de pilates,Colombia,Medellín,Laureles,"Cq. 2 #70-14, Medellín, Laureles, Medellín, Antioquia",+57 324 7454412,https://cygnuspilates.com/,,5,224,Grande (cadena),MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Cygnus%20Pilates&query_place_id=ChIJLeUsLJ4pRI4RVS4BHfiwlJc
NUTRICIÓN ÍNTEGRA – Lic. Tábatha Pagador,Otro,Nutricionista,Argentina,Córdoba,Nueva Córdoba,"Independencia 771, Córdoba, Córdoba",+54 9 3548 63-0917,http://wa.me/543548630917,,5,218,Grande (cadena),MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=NUTRICI%C3%93N%20%C3%8DNTEGRA%20%E2%80%93%20Lic.%20T%C3%A1batha%20Pagador&query_place_id=ChIJFSq3T-qjMpQRc_vwINHRdkI
Distrito Fitness Center,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl. 52 #73-14, Medellín, Laureles, Medellín, Antioquia",+57 305 3460800,https://linktr.ee/distritofitcenter,,5,201,Grande (cadena),MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Distrito%20Fitness%20Center&query_place_id=ChIJc1jyBbkpRI4Rv3btkxGwu70
