nombre,categoria,direccion,ciudad,pais,telefono,sitio_web,email,rating,total_reviews,google_maps_url,tiene_web,tiene_telefono,prioridad
"Libertad 74 Joyería Y Relojería - Tasación De Oro, Plata, Platino, Diamantes y Joyas",Joyería mayorista,"Libertad 74, AAB, Cdad. Autónoma de Buenos Aires",AAB,AR,+54 11 4381-6123,,,4,318,https://www.google.com/maps/search/?api=1&query=Libertad%2074%20Joyer%C3%ADa%20Y%20Relojer%C3%ADa%20-%20Tasaci%C3%B3n%20De%20Oro%2C%20Plata%2C%20Platino%2C%20Diamantes%20y%20Joyas&query_place_id=ChIJP6OTU8XKvJURMfeopZws8NI,No,Sí,ALTA
Cherry Accesorios,Tienda de accesorios de moda,"Av. Sta. Fe 2414, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 4821-5111,,,3.9,179,https://www.google.com/maps/search/?api=1&query=Cherry%20Accesorios&query_place_id=ChIJbfWRw5DKvJURzIUwqiYujNc,No,Sí,ALTA
Joyas Lucen,Joyería,"Libertad 252, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 4382-0469,,,4.5,131,https://www.google.com/maps/search/?api=1&query=Joyas%20Lucen&query_place_id=ChIJq8P7eMXKvJURJkEFjscVXe0,No,Sí,ALTA
VAR´S,Tienda de ropa de mujer,"Sarmiento 2328, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 4951-9930,,,4.2,129,https://www.google.com/maps/search/?api=1&query=VAR%C2%B4S&query_place_id=ChIJa9FOlOvKvJURwoafwk6rcyE,No,Sí,ALTA
Oliva Buenos Aires,Tienda de ropa de mujer,"Av. Callao 759, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 4813-0254,,,4.2,117,https://www.google.com/maps/search/?api=1&query=Oliva%20Buenos%20Aires&query_place_id=ChIJ2cH9jr_KvJURTD7_abnT3Uo,No,Sí,ALTA
MODAPIEL 1992,Tienda de botas,"Cra 24F Bis 17 sur 38, Bogotá, Bogotá",Bogotá,CO,+57 317 2195453,,,4.8,114,https://www.google.com/maps/search/?api=1&query=MODAPIEL%201992&query_place_id=ChIJmdeA7CCZP44R8fnAYyiln9w,No,Sí,ALTA
Almacenes HOGAR Y MODA,Tienda de artículos para el hogar,"Cra. 45 #79-s, Medellín, Manrique, Medellín, Antioquia","Medellín, Manrique, Medellín",CO,+57 44484568,,,3.8,104,https://www.google.com/maps/search/?api=1&query=Almacenes%20HOGAR%20Y%20MODA&query_place_id=ChIJM8D7IcEoRI4RFzVbhP8Eosg,No,Sí,ALTA
Templo De La Moda Y El Calzado,Tienda de ropa,"a 12-78, Cl. 10 #12-2, Bogotá, Bogotá",Bogotá,CO,+57 312 3835738,,,4.7,102,https://www.google.com/maps/search/?api=1&query=Templo%20De%20La%20Moda%20Y%20El%20Calzado&query_place_id=ChIJEzdxEgmZP44R5w3AtMNIcXo,No,Sí,ALTA
Moda Invernal,Tienda de ropa de mujer,"esq. Zapata #84 loc. 5, Circunvalación, Cuauhtémoc, Ciudad de México, CDMX","Cuauhtémoc, Ciudad de México",MX,+52 55 5522 2163,,,4.5,83,https://www.google.com/maps/search/?api=1&query=Moda%20Invernal&query_place_id=ChIJA4H4IUb50YURyLGvKffbdCY,No,Sí,ALTA
Smoking's Orlando,Tienda de ropa,"3ra Cda. de José María Castorena 298 A, Cuajimalpa de Morelos, Ciudad de México, Cd. de México","Cuajimalpa de Morelos, Ciudad de México",MX,+52 55 2163 3455,,,4.3,71,https://www.google.com/maps/search/?api=1&query=Smoking's%20Orlando&query_place_id=ChIJh_rXZD8H0oUR6zeHtZsMNM0,No,Sí,ALTA
